quote_name,quote_tags_name
"“So every week, do the Guatemalans come and mow your lawns?”",race
"“So every week, do the Guatemalans come and mow your lawns?”",class
"“Wow, you’re getting old. You better hurry up and get married if you want to have any kids.”",gender
"“Why would you wear your hair like that today of all days? It’s not appropriate for a leadership position, it looks unprofessional.”",race
"“Why would you wear your hair like that today of all days? It’s not appropriate for a leadership position, it looks unprofessional.”",gender
"“Hello miss, are any of your bosses here?”",gender
"“You’re Asian, so you must be good at math, right?”",race
"“Oh, I don’t know how to pronounce those names.”",race
“You don’t look Jewish.”,religion
“Wow Barbie actually has a lot to say.”,gender
“You’re very exotic-looking.”,race
“Having any body image issues? You better not say yes.”,gender
"“This is A, our system admin! Ask him about setting up your email! He can also help you with internet, printing, etc… And this is P, the female engineer!”",gender
"“I’m surprised you got it done, seeing as you’re all girls!”",gender
“You just need to wear a lower neckline and stop giggling so much!”,gender
“I don’t speak no Spanglish or Chinglish.”,race
“Is your period coming?”,gender
“You’re too pretty to be a doctor.”,gender
"“I was afraid you’d be like one of those Indian people that’s always locked in your room and studies all the time, but then my mom and I went to your Facebook page and saw you had a normal looking boyfriend, so we thought it would be okay.”",race
“You’re really pretty for a dark-skinned girl.”,race
“You’re really pretty for a dark-skinned girl.”,gender
"“I’m probably such a racist, but a black man dressed as Santa is just wrong.”",race
"“Yeah, but you’re not that kind of Native.”",race
“All immigrants should go back to their own countries!”,race
“Whenever black people come to the beach I start saying ‘It got so dark over here’ and they never know what I’m talking about because they’re dumb.”,race
“I think black girls with short hair are ugly.”,race
“I think black girls with short hair are ugly.”,gender
“You’ve been married for two weeks! When are you changing your facebook name to Mrs. [Husband’s name]?? People are going to think you’re a feminist.”,gender
“You don’t _seem_ gay.”,race
“You don’t _seem_ gay.”,gender
"“Don’t shoot officers, I’m white! 😂”",race
“You’re too pretty to be gay.”,gender
“If I can’t do the accent how can I say it the way they did? So white people can’t do accents now? That’s so not fair!”,race
"“You people make a lot of those, don’t you?”",race
“You’re pretty for a black girl.”,race
“You’re pretty for a black girl.”,gender
“You talk white.”,race
“OMFG! It’s like little Mexico beneath my floors! New neighbors moved in below us and all I hear are babies crying and the bass of latino music!”,race
“I hate going into the city. There are so many black people and it’s so ghetto… Not to be racist or anything.”,race
"“There’s African Americans and then there’s black people. There’s a difference. Like, Oprah is an African American, but some random black guy off the street doesn’t deserve the title, you know?”",race
“Racism is only a problem now because minorities continue to think they’re oppressed.”,race
“Can you move these chairs so I can sit down with my friend and eat?”,race
“Let the GIRL go pass.”,race
“Let the GIRL go pass.”,gender
“May I help you?”,race
“You talk like a white girl.”,race
“You talk like a white girl.”,gender
,
"“Look, it’s a dog walker. You have such a cool job!”",race
"“Look, it’s a dog walker. You have such a cool job!”",class
“Can I speak to a man?”,gender
,
,
"“If you like boys, why don’t you just be a girl?”",gender
,
,
“I don’t like short hair on girls.”,gender
,
“You like the amazons…”,race
“You like the amazons…”,gender
"“She’s Mexican, she can be our maid.”",race
,
“What are you?”,race
"“It was cleaner when white people lived here. Then the Blacks came in and now look! There’s trash all over the streets, dogs running loose, and the smell of smoke every sunny day.”",race
"“It was cleaner when white people lived here. Then the Blacks came in and now look! There’s trash all over the streets, dogs running loose, and the smell of smoke every sunny day.”",class
,
"“Stop tucking your hair into your hat, you’ll attract a lot of lesbians that will want to be your girlfriend.”",gender
“Did you get this job because you’re pregnant?”,gender
,
,
“Southerners don’t call anything by their real name. They don’t even call slaves the same thing! They’re ‘nannies.’”,race
“Are you a man or a woman?”,gender
,
,
"“I guessed you must be Japanese because in my experience Japanese people have very modern haircuts and clothing. Chinese people usually have very traditional looking clothing and hair, and you don’t look that at all! You look so chic and modern!”",race
,
,
,
"“You’re going to have go faster than that if you want to be in front, girl!”",gender
"“There are black magazines, black award shows, black college scholarships and black television channels. Since all of these things would be unacceptable for whites, it seems that the more privileged race is black.”",race
“That’s a good girl.”,gender
“We don’t normally see your kind here”,race
,
“I don’t get why you’re excluding me like this. I’m Jewish; I know oppression.”,race
“I don’t get why you’re excluding me like this. I’m Jewish; I know oppression.”,class
“Don’t you think your reaction was offensive to others as well?”,race
“Don’t you think your reaction was offensive to others as well?”,class
,
“But you look so Aryan… you so would have made it through the holocaust!”,religion
,
“I don’t get it. How do you believe something that’s so WRONG?”,religion
“Is she yours?”,race
“That could be more affordable for you.”,race
,
“That could be more affordable for you.”,class
"“COOL STORY BABE
NOW MAKE ME A SANDWICH”",gender
,
,
“Wow you look so Mexican in this picture! You look so much better now!”,race
,
,
,
“Illegals.”,race
,
“You got a C in Precalculus I ? You’re Asian! You should have gotten an A!”,race
“But she’s black!”,race
"“There’s fighting, for you boys, and romance, for you ladies.”",gender
,
“You have a very unique look.”,gender
,
,
“Can I check your bag?”,race
,
“We should put your cast on a scale!”,gender
“How did you get an American passport?”,race
,
“Black and what?”,race
,
“Slim the girls down. They need to be hot.”,gender
“Too bad about all the damn Cubans down there.”,race
“You need a wife.”,gender
“Whoa! Osama!”,religion
"“You don’t want to buy a house, it’s too much trouble.”",race
"“You don’t want to buy a house, it’s too much trouble.”",class
“He’s totally white on the inside.”,race
"“I don’t understand how you actually have a round butt and big boobs. I mean, you’re Asian for crying out loud!”",race
"“I don’t understand how you actually have a round butt and big boobs. I mean, you’re Asian for crying out loud!”",gender
“All of the ‘independent women’ I knew eventually settled down and got married. Your instinct will kick in soon.”,gender
“Do you know what the problem with Australia is? There’s too many fucking Chinese there!”,race
,
,
"“Damn, what a waste!”",gender
"“Cool story, babe. Now make me a sandwich.”",gender
“Hey sexy.”,gender
,
,
,
,
“Good girls don’t get raped.”,gender
"“Yeah, they’re everywhere.”",race
“Meatless Mondays are a healthy addition to your week - the issue is just convincing your husband!”,gender
,
“I just assumed you were my nurse.”,gender
,
“You don’t LOOK Jewish!”,religion
“Dear Sirs…”,gender
"“OH, THAT’S WHY YOU DON’T HAVE AN ACCENT: YOU’RE PART WHITE.”",race
,
,
,
“You should pierce your ears so people know you’re a girl.”,gender
